26,55,intro
43,91,chorus
74,157,interlude
90,192,Amelo
105,224,Bmelo
122,260,Cmelo
138,294,chorus
159,339,Interlude
195,416,Amelo
210,448,Bmelo
226,283,Cmelo
259,552,chorus
287,612,outro
